,x_G,y_G,z_G,time(ms)
474,0.0234375,-0.09375,1.0078125,296.25
475,0.03125,-0.1171875,1.015625,296.875
476,0.0234375,-0.078125,1.0078125,297.5
477,0.0234375,-0.0703125,1.0078125,298.125
478,0.015625,-0.0859375,0.9765625,298.75
479,0.0,-0.09375,1.0,299.375
480,0.0234375,-0.0859375,1.0078125,300.0
481,0.0234375,-0.0859375,1.0,300.625
482,0.015625,-0.0703125,1.0,301.25
483,0.015625,-0.1015625,1.0,301.875
484,0.0234375,-0.0625,0.9921875,302.5
485,0.03125,-0.1015625,1.0078125,303.125
486,0.0,-0.0859375,1.0,303.75
487,0.015625,-0.0625,1.0,304.375
488,0.0234375,-0.0703125,1.0,305.0
489,0.015625,-0.0859375,1.0,305.625
490,0.0078125,-0.078125,1.0,306.25
491,0.0234375,-0.09375,1.0,306.875
492,0.0078125,-0.078125,0.9765625,307.5
493,0.0,-0.078125,1.0,308.125
494,0.015625,-0.078125,1.0,308.75
495,0.015625,-0.0703125,1.0,309.375
496,0.0234375,-0.09375,1.0,310.0
497,0.015625,-0.1015625,1.03125,310.625
498,0.015625,-0.0546875,1.0,311.25
499,0.015625,-0.0703125,1.0,311.875
500,0.0078125,-0.0859375,1.0,312.5
501,0.0078125,-0.0625,1.0,313.125
502,0.0,-0.078125,1.0,313.75
503,0.0234375,-0.078125,1.0,314.375
504,0.0078125,-0.078125,1.015625,315.0
505,0.015625,-0.0703125,1.03125,315.625
506,0.0,-0.078125,0.9921875,316.25
507,0.0,-0.09375,1.0,316.875
508,0.0078125,-0.0703125,1.0,317.5
509,0.0,-0.078125,1.03125,318.125
510,0.03125,-0.078125,1.0,318.75
511,0.0,-0.0703125,1.0,319.375
512,0.0,-0.0546875,1.0,320.0
513,0.0078125,-0.078125,1.0078125,320.625
514,0.0,-0.0546875,1.0078125,321.25
515,0.0078125,-0.09375,1.0,321.875
516,0.0,-0.1015625,1.0,322.5
517,0.0,-0.078125,1.0,323.125
518,0.015625,-0.09375,1.0,323.75
519,0.0,-0.0703125,1.0,324.375
520,0.0,-0.078125,0.9921875,325.0
521,0.015625,-0.0859375,1.0078125,325.625
522,0.0,-0.078125,1.0,326.25
523,-0.0234375,-0.0703125,1.015625,326.875
524,0.0,-0.09375,1.03125,327.5
525,0.015625,-0.1015625,1.0078125,328.125
526,0.0078125,-0.078125,1.0,328.75
527,0.0,-0.0703125,1.0,329.375
528,0.0,-0.1015625,1.0,330.0
529,0.0,-0.09375,1.0,330.625
530,0.0,-0.09375,1.0078125,331.25
531,-0.03125,-0.0703125,1.0390625,331.875
532,0.0,-0.078125,1.0078125,332.5
533,-0.015625,-0.078125,1.0,333.125
534,0.0,-0.1015625,0.9921875,333.75
535,0.0,-0.0859375,1.015625,334.375
536,-0.0234375,-0.078125,1.0390625,335.0
537,0.0,-0.1015625,0.984375,335.625
538,0.0,-0.1015625,1.0,336.25
539,0.015625,-0.09375,1.0078125,336.875
540,-0.015625,-0.09375,0.984375,337.5
541,-0.03125,-0.0703125,0.9921875,338.125
542,0.0,-0.1015625,0.9921875,338.75
543,-0.03125,-0.1015625,0.984375,339.375
544,0.0,-0.1171875,1.0234375,340.0
545,-0.015625,-0.09375,1.015625,340.625
546,-0.0234375,-0.0703125,0.984375,341.25
547,0.0,-0.09375,1.0,341.875
548,-0.0234375,-0.1015625,1.0078125,342.5
549,-0.015625,-0.09375,1.0,343.125
550,0.0,-0.1015625,1.015625,343.75
551,0.0,-0.1015625,1.0078125,344.375
552,-0.015625,-0.1015625,1.0,345.0
553,0.015625,-0.1015625,1.0,345.625
554,-0.0390625,-0.0703125,1.0,346.25
555,-0.0390625,-0.0546875,1.0,346.875
556,-0.03125,-0.109375,1.0234375,347.5
557,-0.015625,-0.09375,1.0,348.125
558,-0.015625,-0.109375,1.046875,348.75
559,-0.0234375,-0.1015625,1.0,349.375
560,-0.03125,-0.1015625,0.984375,350.0
561,-0.0390625,-0.109375,1.0,350.625
562,-0.015625,-0.1171875,1.0,351.25
563,-0.03125,-0.0859375,1.0,351.875
564,-0.0390625,-0.09375,1.0,352.5
565,-0.046875,-0.09375,1.0,353.125
566,0.0,-0.1171875,1.0,353.75
567,-0.046875,-0.0625,1.0,354.375
568,-0.0703125,-0.03125,1.0078125,355.0
569,-0.0546875,-0.1171875,1.0078125,355.625
570,-0.03125,-0.1015625,1.0,356.25
571,-0.0390625,-0.1015625,1.0625,356.875
572,-0.046875,-0.09375,0.984375,357.5
573,-0.0390625,-0.1015625,0.9609375,358.125
574,-0.03125,-0.09375,1.0078125,358.75
575,-0.015625,-0.09375,1.0,359.375
576,-0.0234375,-0.09375,1.0,360.0
577,-0.03125,-0.1015625,1.0078125,360.625
578,-0.046875,-0.109375,1.0078125,361.25
579,0.0078125,-0.0859375,1.0,361.875
580,-0.03125,-0.109375,1.0,362.5
581,-0.078125,-0.0390625,1.0,363.125
582,-0.03125,-0.125,1.0,363.75
583,-0.0234375,-0.140625,1.0,364.375
584,-0.015625,-0.1171875,1.0546875,365.0
585,0.0,-0.1015625,1.0078125,365.625
586,-0.015625,-0.1015625,0.9609375,366.25
587,0.0,-0.1015625,1.0,366.875
588,-0.015625,-0.09375,1.015625,367.5
589,0.0,-0.125,1.015625,368.125
590,-0.0234375,-0.09375,1.015625,368.75
591,-0.015625,-0.109375,1.0,369.375
592,0.0078125,-0.1171875,1.0078125,370.0
593,0.0625,-0.1171875,1.0,370.625
594,-0.03125,-0.078125,1.0,371.25
595,-0.03125,-0.078125,1.0,371.875
596,0.0,-0.1484375,1.0,372.5
597,-0.03125,-0.09375,1.0,373.125
598,-0.0234375,-0.09375,1.0859375,373.75
599,0.0,-0.1015625,0.9453125,374.375
600,0.0078125,-0.109375,0.90625,375.0
601,0.0,-0.0859375,1.0,375.625
602,-0.046875,-0.078125,1.015625,376.25
603,0.0,-0.1171875,1.0,376.875
604,0.0,-0.125,1.0,377.5
605,-0.015625,-0.1015625,1.0078125,378.125
606,0.0390625,-0.09375,1.015625,378.75
607,0.046875,-0.1171875,1.0,379.375
608,0.0078125,-0.0625,1.0078125,380.0
609,0.0,-0.0859375,1.0,380.625
610,0.0,-0.09375,1.0,381.25
611,0.015625,-0.078125,1.0625,381.875
612,0.015625,-0.078125,1.1171875,382.5
613,0.015625,-0.109375,1.0,383.125
